FrameId	FrameMethodId	TimeSegmentId	ActualsOffset	CycleNumber	FirstNonzeroDriftBin	FragClass	FragEnergy	FrameBaseAbund	FrameBaseDriftBin	FrameBaseMsBin	FrameScanTime	FrameSpecAbundLimit	FrameTic	ImsField	ImsPressure	ImsTemperature	ImsTrapTime	IsolationStartMz	IsolationMz	IsolationEndMz	LastNonzeroDriftBin	MassCalOffset	NumTransients
1	1	1	0	1	1	1	NaN	2709	285	111735	0.0643833333333333	NaN	7427995	10.8670001755112	3.95593738555908	27.25	20000	NaN	NaN	NaN	750	0	11
2	1	1	0	2	1	1	NaN	2435	283	111736	0.08085	NaN	7234483	10.8670001755112	3.95593738555908	27.25	20000	NaN	NaN	NaN	750	0	11
3	1	1	0	3	1	1	NaN	3558	284	111736	0.0973333333333333	NaN	7336338	10.8670001755112	3.95593738555908	27.25	20000	NaN	NaN	NaN	750	0	11
4	1	1	0	4	1	1	NaN	2938	292	112633	0.114133333333333	NaN	7266930	10.8670001755112	3.95468735694885	27.25	20000	NaN	NaN	NaN	750	0	11
5	1	1	0	5	1	1	NaN	2716	292	112632	0.1306	NaN	6877469	10.8670001755112	3.95468735694885	27.25	20000	NaN	NaN	NaN	750	0	11
6	1	1	0	6	1	1	NaN	2590	286	111735	0.147066666666667	NaN	6931580	10.8670001755112	3.95468735694885	27.25	20000	NaN	NaN	NaN	750	0	11
7	1	1	0	7	1	1	NaN	3194	284	111735	0.163533333333333	NaN	6692707	10.8670001755112	3.95468735694885	27.25	20000	NaN	NaN	NaN	750	0	11
8	1	1	0	8	1	1	NaN	2942	285	111736	0.18	NaN	6512399	10.8670001755112	3.95468735694885	27.25	20000	NaN	NaN	NaN	750	0	11
9	1	1	0	9	1	1	NaN	2318	285	111735	0.196483333333333	NaN	6802704	10.8670001755112	3.95468735694885	27.25	20000	NaN	NaN	NaN	750	0	11
10	1	1	0	10	1	1	NaN	2666	285	111735	0.21295	NaN	6887109	10.8670001755112	3.95468735694885	27.25	20000	NaN	NaN	NaN	750	0	11
11	1	1	0	11	1	1	NaN	3469	284	111735	0.229416666666667	NaN	7137450	10.8670001755112	3.95468735694885	27.25	20000	NaN	NaN	NaN	750	0	11
12	1	1	0	12	1	1	NaN	2393	283	111736	0.245883333333333	NaN	6422942	10.8670001755112	3.95468735694885	27.25	20000	NaN	NaN	NaN	750	0	11
13	1	1	0	13	1	1	NaN	3002	284	111735	0.26235	NaN	6557273	10.8670001755112	3.95468735694885	27.25	20000	NaN	NaN	NaN	750	0	11
14	1	1	0	14	1	1	NaN	2239	291	112632	0.278833333333333	NaN	6404542	10.8670001755112	3.95468735694885	27.25	20000	NaN	NaN	NaN	750	0	11
15	1	1	0	15	1	1	NaN	2594	284	111735	0.2953	NaN	6453004	10.8670001755112	3.95468735694885	27.25	20000	NaN	NaN	NaN	750	0	11
16	1	1	0	16	1	1	NaN	2696	291	112632	0.311766666666667	NaN	6193804	10.8670001755112	3.95468735694885	27.25	20000	NaN	NaN	NaN	750	0	11
17	1	1	0	17	1	1	NaN	2884	291	112632	0.328233333333333	NaN	6269523	10.8670001755112	3.95468735694885	27.25	20000	NaN	NaN	NaN	750	0	11
18	1	1	0	18	1	1	NaN	2448	255	96219	0.3447	NaN	6030161	10.8670001755112	3.95468735694885	27.25	20000	NaN	NaN	NaN	750	0	11
19	1	1	0	19	1	1	NaN	2772	284	111735	0.361516666666667	NaN	6191863	10.8670001755112	3.95468735694885	27.25	20000	NaN	NaN	NaN	750	0	11
20	1	1	0	20	1	1	NaN	2854	256	96219	0.377983333333333	NaN	5958425	10.8670001755112	3.95468735694885	27.25	20000	NaN	NaN	NaN	750	0	11
21	1	1	0	21	1	1	NaN	3183	256	96219	0.39445	NaN	6246533	10.8670001755112	3.95468735694885	27.25	20000	NaN	NaN	NaN	750	0	11
22	1	1	0	22	1	1	NaN	2337	253	96219	0.410916666666667	NaN	5708918	10.8670001755112	3.95468735694885	27.25	20000	NaN	NaN	NaN	750	0	11
23	1	1	0	23	1	1	NaN	2473	256	96219	0.427383333333333	NaN	5991111	10.8670001755112	3.95468735694885	27.25	20000	NaN	NaN	NaN	750	0	11
24	1	1	0	24	1	1	NaN	3340	284	111735	0.44385	NaN	5923620	10.8670001755112	3.95468735694885	27.25	20000	NaN	NaN	NaN	750	0	11
25	1	1	0	25	1	1	NaN	2622	292	112632	0.460333333333333	NaN	6098015	10.8670001755112	3.95468735694885	27.25	20000	NaN	NaN	NaN	750	0	11
26	1	1	0	26	1	1	NaN	2680	254	96219	0.4768	NaN	5931408	10.8670001755112	3.95468735694885	27.25	20000	NaN	NaN	NaN	750	0	11
27	1	1	0	27	1	1	NaN	2843	284	111735	0.493266666666667	NaN	5898110	10.8670001755112	3.95468735694885	27.25	20000	NaN	NaN	NaN	750	0	11
28	1	1	0	28	1	1	NaN	2313	254	96219	0.509733333333333	NaN	5834787	10.8670001755112	3.95468735694885	27.25	20000	NaN	NaN	NaN	750	0	11
29	1	1	0	29	1	1	NaN	2642	254	96219	0.5262	NaN	5907076	10.8670001755112	3.95468735694885	27.25	20000	NaN	NaN	NaN	750	0	11
30	1	1	0	30	1	1	NaN	2856	291	112632	0.542683333333333	NaN	6176725	12.1624424588174	3.95468735694885	27.25	20000	NaN	NaN	NaN	750	0	11
31	2	2	0	31	1	1	NaN	4805	233	96219	0.56155	NaN	5899954	12.1624424588174	3.95468735694885	27.25	20000	NaN	NaN	NaN	750	0	11
32	2	2	0	32	1	1	NaN	4017	232	96219	0.578016666666667	NaN	5915627	12.1624424588174	3.95468735694885	27.25	20000	NaN	NaN	NaN	750	0	11
33	2	2	0	33	1	1	NaN	4479	234	96219	0.594483333333333	NaN	6476737	12.1624424588174	3.95468735694885	27.25	20000	NaN	NaN	NaN	750	0	11
34	2	2	0	34	1	1	NaN	4275	233	96219	0.611283333333333	NaN	6057623	12.1624424588174	3.95468735694885	27.25	20000	NaN	NaN	NaN	750	0	11
35	2	2	0	35	1	1	NaN	4026	232	96219	0.62775	NaN	6044286	12.1470821007544	3.95468735694885	27.25	20000	NaN	NaN	NaN	750	0	11
36	2	2	0	36	1	1	NaN	5353	232	96219	0.644233333333333	NaN	5968123	12.1475940475815	3.95468735694885	27.25	20000	NaN	NaN	NaN	750	0	11
37	2	2	0	37	1	1	NaN	4010	233	96219	0.6607	NaN	5940302	12.1475940475815	3.95468735694885	27.25	20000	NaN	NaN	NaN	750	0	11
38	2	2	0	38	1	1	NaN	4576	233	96219	0.677166666666667	NaN	5643135	12.1475940475815	3.95468735694885	27.25	20000	NaN	NaN	NaN	750	0	11
39	2	2	0	39	1	1	NaN	5546	233	96219	0.693633333333333	NaN	6043879	12.1475940475815	3.95468735694885	27.25	20000	NaN	NaN	NaN	750	0	11
40	2	2	0	40	1	1	NaN	5381	233	96219	0.7101	NaN	6157676	12.1475940475815	3.95468735694885	27.25	20000	NaN	NaN	NaN	750	0	11
