FrameId	FrameMethodId	TimeSegmentId	ActualsOffset	CycleNumber	FirstNonzeroDriftBin	FragClass	FragEnergy	FrameBaseAbund	FrameBaseDriftBin	FrameBaseMsBin	FrameScanTime	FrameSpecAbundLimit	FrameTic	ImsField	ImsPressure	ImsTemperature	ImsTrapTime	IsolationStartMz	IsolationMz	IsolationEndMz	LastNonzeroDriftBin	MassCalOffset	NumTransients
1	1	1	0	1	1	1	NaN	643	161	60576	0.0455833333333333	NaN	2587903	10.8731445140614	3.94968748092651	27.25	20000	NaN	NaN	NaN	750	0	11
2	1	1	0	2	1	1	NaN	648	195	78867	0.06205	NaN	2901420	10.8731445140614	3.94968748092651	27.25	20000	NaN	NaN	NaN	750	0	11
3	1	1	0	3	1	1	NaN	434	291	71655	0.0785166666666667	NaN	2937922	10.8731445140614	3.94968748092651	27.25	20000	NaN	NaN	NaN	750	0	11
4	1	1	0	4	1	1	NaN	589	278	108112	0.0949833333333333	NaN	3030529	10.8731445140614	3.94968748092651	27.25	20000	NaN	NaN	NaN	750	0	11
5	1	1	0	5	1	1	NaN	548	160	60576	0.111466666666667	NaN	3118859	10.8731445140614	3.94968748092651	27.25	20000	NaN	NaN	NaN	750	0	11
6	1	1	0	6	1	1	NaN	516	160	60576	0.127933333333333	NaN	3227166	10.8731445140614	3.94968748092651	27.25	20000	NaN	NaN	NaN	750	0	11
7	1	1	0	7	1	1	NaN	752	196	78867	0.1444	NaN	3079104	10.8731445140614	3.94968748092651	27.25	20000	NaN	NaN	NaN	750	0	11
8	1	1	0	8	1	1	NaN	484	156	47243	0.160866666666667	NaN	3251738	10.8731445140614	3.94968748092651	27.25	20000	NaN	NaN	NaN	750	0	11
9	1	1	0	9	1	1	NaN	811	277	108112	0.177666666666667	NaN	3163655	10.8731445140614	3.94999980926514	27.25	20000	NaN	NaN	NaN	750	0	11
10	1	1	0	10	1	1	NaN	583	248	63077	0.194133333333333	NaN	3237478	10.8731445140614	3.94999980926514	27.25	20000	NaN	NaN	NaN	750	0	11
11	1	1	0	11	1	1	NaN	684	277	108111	0.210616666666667	NaN	3220860	10.8731445140614	3.94999980926514	27.25	20000	NaN	NaN	NaN	750	0	11
12	1	1	0	12	1	1	NaN	698	195	78867	0.227083333333333	NaN	3212268	10.8731445140614	3.94999980926514	27.25	20000	NaN	NaN	NaN	750	0	11
13	1	1	0	13	1	1	NaN	842	276	108112	0.24355	NaN	3353241	10.8731445140614	3.94999980926514	27.25	20000	NaN	NaN	NaN	750	0	11
14	1	1	0	14	1	1	NaN	702	276	108111	0.260016666666667	NaN	3432939	10.8731445140614	3.94999980926514	27.25	20000	NaN	NaN	NaN	750	0	11
15	1	1	0	15	1	1	NaN	1032	277	108111	0.276483333333333	NaN	3295723	10.8731445140614	3.94999980926514	27.25	20000	NaN	NaN	NaN	750	0	11
16	1	1	0	16	1	1	NaN	1266	278	108111	0.292966666666667	NaN	3252282	10.8731445140614	3.94999980926514	27.25	20000	NaN	NaN	NaN	750	0	11
17	1	1	0	17	1	1	NaN	855	196	78867	0.309433333333333	NaN	3043130	10.8731445140614	3.94999980926514	27.25	20000	NaN	NaN	NaN	750	0	11
18	1	1	0	18	1	1	NaN	867	195	78867	0.3259	NaN	3133947	10.8731445140614	3.94999980926514	27.25	20000	NaN	NaN	NaN	750	0	11
19	1	1	0	19	1	1	NaN	750	277	108111	0.342366666666667	NaN	3241989	10.8731445140614	3.94999980926514	27.25	20000	NaN	NaN	NaN	750	0	11
20	1	1	0	20	1	1	NaN	846	277	108111	0.358833333333333	NaN	3222870	10.8731445140614	3.94999980926514	27.25	20000	NaN	NaN	NaN	750	0	11
21	1	1	0	21	1	1	NaN	689	196	78867	0.375316666666667	NaN	3258681	10.8731445140614	3.94999980926514	27.25	20000	NaN	NaN	NaN	750	0	11
22	1	1	0	22	1	1	NaN	671	277	108111	0.391783333333333	NaN	3392576	10.8731445140614	3.94999980926514	27.25	20000	NaN	NaN	NaN	750	0	11
23	1	1	0	23	1	1	NaN	1165	276	108112	0.40825	NaN	3495048	10.8731445140614	3.94999980926514	27.25	20000	NaN	NaN	NaN	750	0	11
24	1	1	0	24	1	1	NaN	787	279	108111	0.42505	NaN	3594179	10.8731445140614	3.94968748092651	27.25	20000	NaN	NaN	NaN	750	0	11
25	1	1	0	25	1	1	NaN	793	205	77564	0.441516666666667	NaN	3741333	10.8731445140614	3.94968748092651	27.25	20000	NaN	NaN	NaN	750	0	11
26	1	1	0	26	1	1	NaN	808	196	78867	0.457983333333333	NaN	3547463	10.8705834126509	3.94968748092651	27.25	20000	NaN	NaN	NaN	750	0	11
27	1	1	0	27	1	1	NaN	840	277	108112	0.474466666666667	NaN	3718466	10.8705834126509	3.94968748092651	27.25	20000	NaN	NaN	NaN	750	0	11
28	1	1	0	28	1	1	NaN	784	278	108111	0.490933333333333	NaN	3864923	10.8705834126509	3.94968748092651	27.25	20000	NaN	NaN	NaN	750	0	11
29	1	1	0	29	1	1	NaN	613	264	63077	0.5074	NaN	3689924	10.8705834126509	3.94968748092651	27.25	20000	NaN	NaN	NaN	750	0	11
30	1	1	0	30	1	1	NaN	875	276	108111	0.523866666666667	NaN	3774241	10.8705834126509	3.94968748092651	27.25	20000	NaN	NaN	NaN	750	0	11
31	1	1	0	31	1	1	NaN	902	196	78867	0.54033330078125	NaN	3619248	12.1621863877413	3.94968748092651	27.25	20000	NaN	NaN	NaN	750	0	11
32	2	2	0	32	1	1	NaN	1098	252	108111	0.559216666666667	NaN	3876255	12.1621863877413	3.94968748092651	27.25	20000	NaN	NaN	NaN	750	0	11
33	2	2	0	33	1	1	NaN	993	254	108111	0.575683333333333	NaN	4090188	12.1621863877413	3.94968748092651	27.25	20000	NaN	NaN	NaN	750	0	11
34	2	2	0	34	1	1	NaN	1338	252	108111	0.59215	NaN	4215690	12.1621863877413	3.94968748092651	27.25	20000	NaN	NaN	NaN	750	0	11
35	2	2	0	35	1	1	NaN	1416	254	108111	0.608616666666667	NaN	4116823	12.1621863877413	3.94968748092651	27.25	20000	NaN	NaN	NaN	750	0	11
36	2	2	0	36	1	1	NaN	1261	237	63076	0.625083333333333	NaN	4251877	12.1519451072994	3.94968748092651	27.25	20000	NaN	NaN	NaN	750	0	11
37	2	2	0	37	1	1	NaN	895	253	108112	0.641566666666667	NaN	4361384	12.1518171694238	3.94968748092651	27.25	20000	NaN	NaN	NaN	750	0	11
38	2	2	0	38	1	1	NaN	1120	225	63076	0.658033333333333	NaN	4641059	12.1518171694238	3.94968748092651	27.25	20000	NaN	NaN	NaN	750	0	11
39	2	2	0	39	1	1	NaN	1116	230	63077	0.675166666666667	NaN	4909415	12.1518171694238	3.94937491416931	27.25	20000	NaN	NaN	NaN	750	0	11
40	2	2	0	40	1	1	NaN	1472	255	108111	0.691633333333333	NaN	4985302	12.1518171694238	3.94937491416931	27.25	20000	NaN	NaN	NaN	750	0	11
41	2	2	0	41	1	1	NaN	1532	254	108111	0.7081	NaN	5465643	12.1518171694238	3.94937491416931	27.25	20000	NaN	NaN	NaN	750	0	11
42	2	2	0	42	1	1	NaN	1799	248	63077	0.724566666666667	NaN	6055502	12.1518171694238	3.94937491416931	27.25	20000	NaN	NaN	NaN	750	0	11
43	2	2	0	43	1	1	NaN	1749	237	63077	0.741033333333333	NaN	6787080	12.1518171694238	3.94937491416931	27.25	20000	NaN	NaN	NaN	750	0	11
44	2	2	0	44	1	1	NaN	1870	230	63076	0.757516666666667	NaN	6981289	12.1518171694238	3.94937491416931	27.25	20000	NaN	NaN	NaN	750	0	11
45	2	2	0	45	1	1	NaN	2199	233	63077	0.773983333333333	NaN	7989715	12.1518171694238	3.94937491416931	27.25	20000	NaN	NaN	NaN	750	0	11
46	2	2	0	46	1	1	NaN	2613	229	63076	0.79045	NaN	8198825	12.1518171694238	3.94937491416931	27.25	20000	NaN	NaN	NaN	750	0	11
47	2	2	0	47	1	1	NaN	2437	230	63076	0.806916666666667	NaN	8443291	12.1518171694238	3.94937491416931	27.25	20000	NaN	NaN	NaN	750	0	11
48	2	2	0	48	1	1	NaN	2594	232	63076	0.823383333333333	NaN	9098005	12.1518171694238	3.94937491416931	27.25	20000	NaN	NaN	NaN	750	0	11
49	2	2	0	49	1	1	NaN	2864	236	63077	0.839866666666667	NaN	9418809	12.1518171694238	3.94937491416931	27.25	20000	NaN	NaN	NaN	750	0	11
50	2	2	0	50	1	1	NaN	2968	247	63077	0.856333333333333	NaN	9578926	12.1518171694238	3.94937491416931	27.25	20000	NaN	NaN	NaN	750	0	11
51	2	2	0	51	1	1	NaN	3261	243	63076	0.8728	NaN	10081923	12.1518171694238	3.94937491416931	27.25	20000	NaN	NaN	NaN	750	0	11
52	2	2	0	52	1	1	NaN	3261	249	63077	0.889266666666667	NaN	10337810	12.1518171694238	3.94937491416931	27.25	20000	NaN	NaN	NaN	750	0	11
53	2	2	0	53	1	1	NaN	3360	255	63077	0.905733333333333	NaN	10712792	12.1518171694238	3.94937491416931	27.25	20000	NaN	NaN	NaN	750	0	11
54	2	2	0	54	1	1	NaN	3487	252	63077	0.92255	NaN	11070520	12.1518171694238	3.94999980926514	27.25	20000	NaN	NaN	NaN	750	0	11
55	2	2	0	55	1	1	NaN	3352	250	63077	0.939016666666667	NaN	11084471	12.1518171694238	3.94999980926514	27.25	20000	NaN	NaN	NaN	750	0	11
56	2	2	0	56	1	1	NaN	3406	235	63077	0.955483333333333	NaN	11311289	12.1518171694238	3.94999980926514	27.25	20000	NaN	NaN	NaN	750	0	11
57	2	2	0	57	1	1	NaN	3882	240	63076	0.97195	NaN	11013369	12.1518171694238	3.94999980926514	27.25	20000	NaN	NaN	NaN	750	0	11
58	2	2	0	58	1	1	NaN	2957	241	63077	0.988416666666667	NaN	10822249	12.1518171694238	3.94999980926514	27.25	20000	NaN	NaN	NaN	750	0	11
59	2	2	0	59	1	1	NaN	3256	250	63077	1.00488333333333	NaN	10368415	12.1518171694238	3.94999980926514	27.25	20000	NaN	NaN	NaN	750	0	11
