FrameId	FrameMethodId	TimeSegmentId	ActualsOffset	CycleNumber	FirstNonzeroDriftBin	FragClass	FragEnergy	FrameBaseAbund	FrameBaseDriftBin	FrameBaseMsBin	FrameScanTime	FrameSpecAbundLimit	FrameTic	ImsField	ImsPressure	ImsTemperature	ImsTrapTime	IsolationStartMz	IsolationMz	IsolationEndMz	LastNonzeroDriftBin	MassCalOffset	NumTransients
1	1	1	0	1	1	1	NaN	2800	284	63077	0.0595333333333333	NaN	9388935	10.8714791731046	3.94968748092651	27.25	20000	NaN	NaN	NaN	750	0	11
2	1	1	0	2	1	1	NaN	2255	307	63076	0.0760166666666667	NaN	8864731	10.8714791731046	3.94968748092651	27.25	20000	NaN	NaN	NaN	750	0	11
3	1	1	0	3	1	1	NaN	1972	288	63077	0.0924833333333333	NaN	9115543	10.8714791731046	3.94968748092651	27.25	20000	NaN	NaN	NaN	750	0	11
4	1	1	0	4	1	1	NaN	1993	291	63077	0.10895	NaN	8990613	10.8714791731046	3.94968748092651	27.25	20000	NaN	NaN	NaN	750	0	11
5	1	1	0	5	1	1	NaN	2159	281	63077	0.125416666666667	NaN	8770967	10.8714791731046	3.94968748092651	27.25	20000	NaN	NaN	NaN	750	0	11
6	1	1	0	6	1	1	NaN	2635	297	63076	0.141883333333333	NaN	9194472	10.8714791731046	3.94968748092651	27.25	20000	NaN	NaN	NaN	750	0	11
7	1	1	0	7	1	1	NaN	2222	298	63077	0.158366666666667	NaN	9385468	10.8714791731046	3.94968748092651	27.25	20000	NaN	NaN	NaN	750	0	11
8	1	1	0	8	1	1	NaN	2054	297	63077	0.174833333333333	NaN	9193805	10.8714791731046	3.94968748092651	27.25	20000	NaN	NaN	NaN	750	0	11
9	1	1	0	9	1	1	NaN	2267	285	63077	0.1913	NaN	8849164	10.8714791731046	3.94968748092651	27.25	20000	NaN	NaN	NaN	750	0	11
10	1	1	0	10	1	1	NaN	1907	289	63076	0.207766666666667	NaN	9175668	10.8714791731046	3.94968748092651	27.25	20000	NaN	NaN	NaN	750	0	11
11	1	1	0	11	1	1	NaN	2032	283	63077	0.224233333333333	NaN	8892141	10.8714791731046	3.94968748092651	27.25	20000	NaN	NaN	NaN	750	0	11
12	1	1	0	12	1	1	NaN	2382	279	63076	0.240716666666667	NaN	9200588	10.8714791731046	3.94968748092651	27.25	20000	NaN	NaN	NaN	750	0	11
13	1	1	0	13	1	1	NaN	2543	286	63076	0.257183333333333	NaN	9479282	10.8714791731046	3.94968748092651	27.25	20000	NaN	NaN	NaN	750	0	11
14	1	1	0	14	1	1	NaN	2645	278	63077	0.273983333333333	NaN	9371838	10.8714791731046	3.94968748092651	27.25	20000	NaN	NaN	NaN	750	0	11
15	1	1	0	15	1	1	NaN	2331	290	63076	0.29045	NaN	9431094	10.8714791731046	3.94968748092651	27.25	20000	NaN	NaN	NaN	750	0	11
16	1	1	0	16	1	1	NaN	2257	293	63077	0.306916666666667	NaN	8973380	10.8714791731046	3.94968748092651	27.25	20000	NaN	NaN	NaN	750	0	11
17	1	1	0	17	1	1	NaN	2475	286	63077	0.3234	NaN	9536119	10.8714791731046	3.94968748092651	27.25	20000	NaN	NaN	NaN	750	0	11
