FrameId	FrameMethodId	TimeSegmentId	ActualsOffset	CycleNumber	FirstNonzeroDriftBin	FragClass	FragEnergy	FrameBaseAbund	FrameBaseDriftBin	FrameBaseMsBin	FrameScanTime	FrameSpecAbundLimit	FrameTic	ImsField	ImsPressure	ImsTemperature	ImsTrapTime	IsolationStartMz	IsolationMz	IsolationEndMz	LastNonzeroDriftBin	MassCalOffset	NumTransients
1	1	1	0	1	1	1	NaN	727	160	60575	0.0452166666666667	NaN	2747443	10.8717352441806	3.94843745231628	27.25	20000	NaN	NaN	NaN	750	0	11
2	1	1	0	2	1	1	NaN	873	197	78867	0.0616833333333333	NaN	2837791	10.8717352441806	3.94843745231628	27.25	20000	NaN	NaN	NaN	750	0	11
3	1	1	0	3	1	1	NaN	367	195	78867	0.0781666666666667	NaN	2716732	10.8717352441806	3.94843745231628	27.25	20000	NaN	NaN	NaN	750	0	11
4	1	1	0	4	1	1	NaN	510	196	78866	0.0946333333333333	NaN	2766769	10.8717352441806	3.94843745231628	27.25	20000	NaN	NaN	NaN	750	0	11
5	1	1	0	5	1	1	NaN	706	190	77998	0.1111	NaN	2913766	10.8717352441806	3.94843745231628	27.25	20000	NaN	NaN	NaN	750	0	11
6	1	1	0	6	1	1	NaN	641	196	78867	0.127566666666667	NaN	2761165	10.8717352441806	3.94843745231628	27.25	20000	NaN	NaN	NaN	750	0	11
7	1	1	0	7	1	1	NaN	724	197	78868	0.144033333333333	NaN	2789260	10.8717352441806	3.94843745231628	27.25	20000	NaN	NaN	NaN	750	0	11
8	1	1	0	8	1	1	NaN	744	195	78867	0.160516666666667	NaN	2867674	10.8717352441806	3.94843745231628	27.25	20000	NaN	NaN	NaN	750	0	11
9	1	1	0	9	1	1	NaN	516	189	77998	0.176983333333333	NaN	2656863	10.8717352441806	3.94843745231628	27.25	20000	NaN	NaN	NaN	750	0	11
10	1	1	0	10	1	1	NaN	666	196	78867	0.19345	NaN	2674848	10.8717352441806	3.94843745231628	27.25	20000	NaN	NaN	NaN	750	0	11
11	1	1	0	11	1	1	NaN	845	189	77998	0.209916666666667	NaN	2706540	10.8717352441806	3.94843745231628	27.25	20000	NaN	NaN	NaN	750	0	11
12	1	1	0	12	1	1	NaN	916	196	78867	0.226383333333333	NaN	2692684	10.8717352441806	3.94843745231628	27.25	20000	NaN	NaN	NaN	750	0	11
13	1	1	0	13	1	1	NaN	861	197	78867	0.242866666666667	NaN	2717666	10.8717352441806	3.94843745231628	27.25	20000	NaN	NaN	NaN	750	0	11
14	1	1	0	14	1	1	NaN	960	196	78867	0.259666666666667	NaN	2636997	10.8717352441806	3.94999980926514	27.25	20000	NaN	NaN	NaN	750	0	11
15	1	1	0	15	1	1	NaN	769	197	78867	0.276133333333333	NaN	2578295	10.8717352441806	3.94999980926514	27.25	20000	NaN	NaN	NaN	750	0	11
16	1	1	0	16	1	1	NaN	1215	197	78867	0.2926	NaN	2497178	10.8717352441806	3.94999980926514	27.25	20000	NaN	NaN	NaN	750	0	11
17	1	1	0	17	1	1	NaN	815	197	78868	0.309066666666667	NaN	2650494	10.8717352441806	3.94999980926514	27.25	20000	NaN	NaN	NaN	750	0	11
18	1	1	0	18	1	1	NaN	731	164	58581	0.325533333333333	NaN	2793491	10.8717352441806	3.94999980926514	27.25	20000	NaN	NaN	NaN	750	0	11
19	1	1	0	19	1	1	NaN	653	165	58580	0.342016666666667	NaN	2766460	10.8717352441806	3.94999980926514	27.25	20000	NaN	NaN	NaN	750	0	11
20	1	1	0	20	1	1	NaN	914	277	108111	0.358483333333333	NaN	2925896	10.8717352441806	3.94999980926514	27.25	20000	NaN	NaN	NaN	750	0	11
21	1	1	0	21	1	1	NaN	956	165	58581	0.37495	NaN	2781334	10.8717352441806	3.94999980926514	27.25	20000	NaN	NaN	NaN	750	0	11
